Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g),Max yield (mol/mol),Production flux at max yield (mmol/gDCW/h),Carbon uptake rate at max yield (mmol/gDCW/h)
eciML1515,eciML1515_acald,acetaldehyde,acald,YT,aerobic,D-glucose,2.0,0.333333333333333,0.489049372132622,2.4,58.1772759896904,24.240531662371
eciML1515,eciML1515_acald,acetaldehyde,acald,YA,aerobic,D-glucose,1.9976854138931,0.332947568982183,0.488483398691459,2.34129253727561,79.8682869591343,34.1129037433618
eciML1515,eciML1515_met_6PHX,6-phenylhexanoate,met_6PHX,YT,aerobic,D-glucose,0.111111111111111,0.0185185185185185,0.117951125929883,0.377410468319559,5.38773619296017,14.2755345842667
eciML1515,eciML1515_met_6PHX,6-phenylhexanoate,met_6PHX,YA,aerobic,D-glucose,0.104110127558364,0.017351687926394,0.110519160895915,0.337539765604759,3.01977208321596,8.94641873619108
eciML1515,eciML1515_met_57302,proclavaminic acid zwitterion,met_57302,YT,aerobic,D-glucose,0.0833333333333343,0.013888888888889,0.0935337035164595,0.513108615656822,1.21064978655157,2.35944154826134
eciML1515,eciML1515_met_57302,proclavaminic acid zwitterion,met_57302,YA,aerobic,D-glucose,0.0497192028419653,0.00828653380699422,0.0558050541323405,0.266943506682321,0.541238621953634,2.02753994161671
eciML1515,eciML1515_glu5sa,L-glutamic 5-semialdehyde zwitterion,glu5sa,YT,aerobic,D-glucose,0.333333333333332,0.0555555555555554,0.242622962588472,1.08730158730158,5.73867345460462,5.27790405314001
eciML1515,eciML1515_glu5sa,L-glutamic 5-semialdehyde zwitterion,glu5sa,YA,aerobic,D-glucose,0.206821234307939,0.0344702057179899,0.15053874178199,0.845694589110425,3.2028407266424,3.78723095533983
eciML1515,eciML1515_met_19641,2-hydroxyisobutyrate,met_19641,YT,aerobic,D-glucose,0.5,0.0833333333333333,0.28613159892422,1.27433628318584,8.72438322005689,6.8462173879613
eciML1515,eciML1515_met_19641,2-hydroxyisobutyrate,met_19641,YA,aerobic,D-glucose,0.468178286810451,0.0780297144684085,0.267921203573353,1.18902712892894,14.4047481722996,12.1147346615003
eciML1515,eciML1515_malon,malonate(2-),malon,YT,aerobic,D-glucose,1.0,0.166666666666666,0.566429361062209,2.0,42.1211719048459,21.0605859524229
eciML1515,eciML1515_malon,malonate(2-),malon,YA,aerobic,D-glucose,0.934204762468616,0.155700793744769,0.529161006706371,1.94497898116142,27.8285221800329,14.3078781054052
eciML1515,eciML1515_glyc3p,sn-glycerol 3-phosphate(2-),glyc3p,YT,aerobic,D-glucose,0.5,0.0833333333333333,0.471974162042338,1.71428571428571,20.1398445302422,11.7482426426413
eciML1515,eciML1515_glyc3p,sn-glycerol 3-phosphate(2-),glyc3p,YA,aerobic,D-glucose,0.483967924391634,0.0806613207319391,0.456840711140222,1.57287934131408,7.88212394808661,5.01127056669291
eciML1515,eciML1515_met_4APETH,2-(4-aminophenyl)ethanol,met_4APETH,YT,aerobic,D-glucose,0.166666666666666,0.0277777777777777,0.126907727537582,0.568925233879168,5.25000513819207,9.22793510562954
eciML1515,eciML1515_met_4APETH,2-(4-aminophenyl)ethanol,met_4APETH,YA,aerobic,D-glucose,0.140806870429263,0.0234678117382105,0.107216879687139,0.455381261988781,2.25274156005498,4.94693512468345
eciML1515,eciML1515_34hpl,3-(4-hydroxyphenyl)lactate,34hpl,YT,aerobic,D-glucose,0.2,0.0333333333333333,0.201120673940811,0.581521739130436,8.6580340280431,14.8885818799993
eciML1515,eciML1515_34hpl,3-(4-hydroxyphenyl)lactate,34hpl,YA,aerobic,D-glucose,0.185990687932547,0.0309984479887578,0.187032862518545,0.512556156116605,4.15949246718212,8.11519365740649
eciML1515,eciML1515_met_17447,geraniol,met_17447,YT,aerobic,D-glucose,0.0833333333333335,0.0138888888888889,0.0713499331800884,0.395248380129589,0.198399704396135,0.501962093636123
eciML1515,eciML1515_met_17447,geraniol,met_17447,YA,aerobic,D-glucose,0.0784431909150257,0.0130738651525042,0.0671629971626399,0.332940701998201,2.27119297996051,6.82161407821139
eciML1515,eciML1515_3dhsk,3-dehydroshikimate,3dhsk,YT,aerobic,D-glucose,0.333333333333333,0.0555555555555555,0.316628540424732,0.857142857142857,16.6083543065008,19.3764133575843
eciML1515,eciML1515_3dhsk,3-dehydroshikimate,3dhsk,YA,aerobic,D-glucose,0.314613245486213,0.0524355409143689,0.298846598149764,0.783662604431054,8.77688414329436,11.1998251462649
eciML1515,eciML1515_leu__L,L-leucine zwitterion,leu__L,YT,aerobic,D-glucose,0.500000000000003,0.0833333333333338,0.364053951500225,0.770053475935832,8.60273890850368,11.1716123325707
eciML1515,eciML1515_leu__L,L-leucine zwitterion,leu__L,YA,aerobic,D-glucose,0.498019010903354,0.0830031684838924,0.362611577683197,0.745926560716982,23.3201774884563,31.2633692330797
eciML1515,eciML1515_lald__L,(S)-lactaldehyde,lald__L,YT,aerobic,D-glucose,0.5,0.0833333333333333,0.205595676366488,1.58631921824104,14.4645410473732,9.11830410994578
eciML1515,eciML1515_lald__L,(S)-lactaldehyde,lald__L,YA,aerobic,D-glucose,0.485085121183389,0.0808475201972315,0.199462807170038,1.32017207306814,8.49147359484571,6.43209606389498
eciML1515,eciML1515_glu__L,L-glutamate(1-),glu__L,YT,aerobic,D-glucose,0.499999999999999,0.0833333333333332,0.405541356740617,1.19427403236299,5.21072713998224,4.36309171829874
eciML1515,eciML1515_glu__L,L-glutamate(1-),glu__L,YA,aerobic,D-glucose,0.263685976917039,0.0439476628195065,0.213871137664823,0.960379167380118,3.78730962163539,3.94355661833757
