Template model,Taget model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,MMSDHir,NADH,NADPH,0.529677055363885,0.520663179997365,1.7312296534133
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,HIBD,NADH,NADPH,0.529677054878384,0.520663179997365,1.73122956016673
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,VALDHr,NADH,NADPH,0.53727140495475,0.520663179997365,3.18982128858602
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,ALAD_L,NADH,NADPH,0.537271404592852,0.520663179997365,3.18982121907882
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,HACOADr,NADH,NADPH,0.529677055261872,0.520663179997365,1.73122963382059
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,GAPD,NADH,NADPH,0.53727140481937,0.520663179997365,3.18982126258451
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,MDH,NADH,NADPH,0.537271404668311,0.520663179997365,3.18982123357172
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,MMSAD1,NADH,NADPH,0.529677054869533,0.520663179997365,1.73122955846678
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,GLUDxi,NADH,NADPH,0.537271405317001,0.520663179997365,3.18982135816088
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,KARA1,NADPH,NADH,0.529750470938562,0.520663179997365,1.74533005027208
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,LLEUDr,NADH,NADPH,0.537277979366693,0.514056916480853,4.51721631231165
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,OIVD2,NADH,NADPH,0.52686787129216,0.514056916480853,2.49212770037385
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,FDH,NADH,NADPH,0.52007336997255,0.514056916480853,1.17038664373665
